"","expectedSn"
"1",63.9712255118033
"2",69.5620977137737
"3",75.6651896093718
"4",80.0058354304244
"5",85.2535584588016
"6",89.6203984637437
"7",93.1711439290645
"8",97.0892828171202
"9",100.021661527463
"10",103.936525317504
