"","changesProps","changesProbs"
"1",0.152,0.157617901492256
"2",0.147,0.151555674511785
"3",0.144,0.140117510397688
"4",0.114,0.124548898131278
"5",0.107,0.106432694766728
"6",0.078,0.0874268564155269
"7",0.082,0.0690212024333107
"8",0.055,0.0523609121907874
"9",0.04,0.0381613427831163
"10",0.024,0.0267129399481814
"11",0.023,0.0179545989815645
"12",0.015,0.0115836122461707
"13",0.012,0.0071708075809628
"14",0.003,0.00425766700119666
"15",0.004,0.00242359506221964
"16",0,0.00132196094302889
"17",0,0.000690576612030018
"18",0,0.000345288306015009
"19",0,0.000165137885485439
"20",0,7.54916047933436e-05
"21",0,3.29611232196289e-05
"22",0,1.3733801341512e-05
"23",0,5.45589368361438e-06
"24",0,2.06439220461084e-06
"25",0,7.43181193659904e-07
"26",0,2.5424619783102e-07
"27",0,8.25474668282532e-08
"28",0,2.53992205625395e-08
"29",0,7.39470978403047e-09
"30",0,2.03354519060838e-09
"31",0,5.27215419787358e-10
"32",0,1.28589126777404e-10
"33",0,2.94360651659118e-11
"34",0,6.30772824983825e-12
"35",0,1.26154564996765e-12
"36",0,2.34706167435842e-13
"37",0,4.04665805923865e-14
"38",0,6.43786509424331e-15
"39",0,9.40362317136663e-16
"40",0,1.25381642284889e-16
"41",0,1.51560226937777e-17
"42",0,1.6473937710628e-18
"43",0,1.59425203651238e-19
"44",0,1.35681024384033e-20
"45",0,9.99754916513924e-22
"46",0,6.24846822821203e-23
"47",0,3.2208599114495e-24
"48",0,1.31463669855082e-25
"49",0,3.98374757136611e-27
"50",0,7.96749514273222e-29
"51",0,7.88860905221012e-31
"52",0,7.73393044334325e-33
"53",0,7.50867033334297e-35
"54",0,7.21987532052208e-37
"55",0,6.87607173383055e-39
"56",0,6.48686012625524e-41
"57",0,6.06248609930396e-43
"58",0,5.61341305491108e-45
"59",0,5.14992023386337e-47
"60",0,4.68174566714852e-49
"61",0,4.21778888932299e-51
"62",0,3.76588293689553e-53
"63",0,3.33263976716418e-55
"64",0,2.92336821681069e-57
"65",0,2.54205931896582e-59
"66",0,2.19143044738432e-61
"67",0,1.87301747639686e-63
"68",0,1.58730294609903e-65
"69",0,1.33386802193196e-67
"70",0,1.1115566849433e-69
"71",0,9.18641888382892e-72
"72",0,7.52985154412207e-74
"73",0,6.12183052367648e-76
"74",0,4.9369600997391e-78
"75",0,3.94956807979128e-80
"76",0,3.13457784110419e-82
"77",0,2.46817152842849e-84
"78",0,1.92825900658476e-86
"79",0,1.49477442370912e-88
"80",0,1.14982647977624e-90
"81",0,8.77730137233775e-93
"82",0,6.6494707366195e-95
"83",0,4.99960205760865e-97
"84",0,3.73104631164824e-99
"85",0,2.76373800862833e-101
"86",0,2.03216030046201e-103
"87",0,1.48332868646862e-105
"88",0,1.07487585975987e-107
"89",0,7.73291985438754e-110
"90",0,5.52351418170539e-112
"91",0,3.9173859444719e-114
"92",0,2.75872249610697e-116
"93",0,1.92917657070418e-118
"94",0,1.3397059518779e-120
"95",0,9.23935139226139e-123
"96",0,6.32832287141191e-125
"97",0,4.30498154517817e-127
"98",0,2.90877131430958e-129
"99",0,1.95219551295945e-131
"100",0,1.3014636753063e-133
"101",0,8.6189647371278e-136
"102",0,5.67037153758408e-138
